cluster,language,entry_id,llm_type,prompt_version,similarity_index,fuzzy_score,cosine_score,pattern_count,patterns,base_complexity,llm_complexity,base_depth,llm_depth
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian,openAI,v4,86.45,85.53,87.2,0,,1.0,1.0,3.0,4.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian,claude,v2,78.89,79.16,78.66,0,,1.0,1.0,3.0,4.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian,claude,v3,56.51,59.22,54.29,0,,1.0,8.0,3.0,7.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian,claude,v4,74.15,76.5,72.24,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian,claude,v1,78.89,79.16,78.66,0,,1.0,1.0,3.0,4.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian,gemini,v4,75.34,66.87,82.26,0,,1.0,2.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian,gemini,v1,65.95,68.96,63.48,0,,1.0,2.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian,gemini,v2,63.05,68.33,58.74,0,,1.0,2.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian,gemini,v3,62.19,59.45,64.43,0,,1.0,3.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns,openAI,v3,85.29,79.89,89.7,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns,openAI,v2,75.25,70.67,79.0,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns,openAI,v1,80.74,76.49,84.23,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns,openAI,v4,65.83,68.65,63.52,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns,claude,v2,68.16,69.26,67.26,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns,claude,v3,84.06,78.19,88.87,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns,claude,v4,87.23,82.59,91.02,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns,claude,v1,88.89,84.98,92.08,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns,gemini,v4,75.9,70.38,80.4,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns,gemini,v1,75.18,69.64,79.71,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns,gemini,v2,54.07,55.18,53.16,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns,gemini,v3,75.48,68.93,80.85,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns_bearguns,openAI,v3,85.29,79.89,89.7,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns_bearguns,openAI,v2,75.25,70.67,79.0,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns_bearguns,openAI,v1,80.74,76.49,84.23,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns_bearguns,openAI,v4,65.83,68.65,63.52,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns_bearguns,claude,v2,68.16,69.26,67.26,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns_bearguns,claude,v3,84.06,78.19,88.87,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns_bearguns,claude,v4,87.23,82.59,91.02,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns_bearguns,claude,v1,88.89,84.98,92.08,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns_bearguns,gemini,v4,75.9,70.38,80.4,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns_bearguns,gemini,v1,75.18,69.64,79.71,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns_bearguns,gemini,v2,54.07,55.18,53.16,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-bearguns_bearguns,gemini,v3,75.48,68.93,80.85,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian_ffflorian,openAI,v3,86.45,85.53,87.2,0,,1.0,1.0,3.0,4.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian_ffflorian,openAI,v2,86.78,86.25,87.2,0,,1.0,1.0,3.0,4.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian_ffflorian,openAI,v1,86.78,86.25,87.2,0,,1.0,1.0,3.0,4.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian_ffflorian,openAI,v4,86.45,85.53,87.2,0,,1.0,1.0,3.0,4.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian_ffflorian,claude,v2,78.89,79.16,78.66,0,,1.0,1.0,3.0,4.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian_ffflorian,claude,v3,56.51,59.22,54.29,0,,1.0,8.0,3.0,7.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian_ffflorian,claude,v4,74.15,76.5,72.24,0,,1.0,1.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian_ffflorian,claude,v1,78.89,79.16,78.66,0,,1.0,1.0,3.0,4.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian_ffflorian,gemini,v4,75.34,66.87,82.26,0,,1.0,2.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian_ffflorian,gemini,v1,65.95,68.96,63.48,0,,1.0,2.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian_ffflorian,gemini,v2,63.05,68.33,58.74,0,,1.0,2.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian_ffflorian,gemini,v3,62.19,59.45,64.43,0,,1.0,3.0,3.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ThomasZumsteg_ThomasZumsteg,openAI,v3,43.26,49.09,38.48,1,generic_constant_extraction,2.0,4.0,2.0,2.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ThomasZumsteg_ThomasZumsteg,openAI,v2,37.91,39.2,36.86,2,js_template_literals;generic_constant_extraction,2.0,6.0,2.0,6.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ThomasZumsteg_ThomasZumsteg,openAI,v1,52.3,53.88,51.0,2,generic_guard_clause;generic_constant_extraction,2.0,6.0,2.0,4.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ThomasZumsteg_ThomasZumsteg,openAI,v4,44.86,50.38,40.35,3,js_arrow_function;js_template_literals;generic_constant_extraction,2.0,3.0,2.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ThomasZumsteg_ThomasZumsteg,claude,v2,74.74,66.77,81.26,0,,2.0,2.0,2.0,2.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ThomasZumsteg_ThomasZumsteg,claude,v3,52.94,60.03,47.15,2,js_arrow_function;generic_constant_extraction,2.0,3.0,2.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ThomasZumsteg_ThomasZumsteg,claude,v4,51.88,53.15,50.84,0,,2.0,2.0,2.0,2.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ThomasZumsteg_ThomasZumsteg,claude,v1,71.41,69.46,72.99,1,generic_constant_extraction,2.0,2.0,2.0,2.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ThomasZumsteg_ThomasZumsteg,gemini,v4,56.41,47.7,63.53,1,generic_constant_extraction,2.0,9.0,2.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ThomasZumsteg_ThomasZumsteg,gemini,v1,51.59,48.25,54.33,2,js_for_of;generic_constant_extraction,2.0,8.0,2.0,5.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ThomasZumsteg_ThomasZumsteg,gemini,v2,54.38,60.36,49.48,1,generic_constant_extraction,2.0,3.0,2.0,3.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ThomasZumsteg_ThomasZumsteg,gemini,v3,45.96,57.34,36.66,2,js_arrow_function;generic_constant_extraction,2.0,2.0,2.0,2.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,openAI,v4,86.54,84.96,87.83,1,js_template_literals,1.0,1.0,3.0,4.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,openAI,v1,70.68,67.42,73.34,1,js_template_literals,1.0,2.0,3.0,4.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,openAI,v3,71.13,70.53,71.62,1,js_template_literals,1.0,1.0,3.0,4.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,openAI,v2,63.05,64.05,62.24,2,js_arrow_function;js_template_literals,1.0,1.0,3.0,4.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,openAI,v1,53.89,55.54,52.55,1,js_template_literals,1.0,2.0,3.0,4.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,openAI,v4,71.05,70.36,71.62,1,js_template_literals,1.0,1.0,3.0,4.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,openAI,v2,77.59,75.53,79.28,2,js_arrow_function;js_template_literals,1.0,1.0,3.0,4.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,openAI,v3,87.06,85.7,88.17,1,js_template_literals,1.0,1.0,3.0,4.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,claude,v2,61.0,57.31,64.02,1,generic_constant_extraction,1.0,1.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,claude,v3,65.49,66.93,64.32,1,generic_constant_extraction,1.0,1.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,claude,v1,76.75,80.94,73.33,1,generic_constant_extraction,1.0,1.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,claude,v4,76.61,80.61,73.33,1,generic_constant_extraction,1.0,1.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,claude,v3,79.3,83.25,76.06,1,generic_constant_extraction,1.0,1.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,claude,v2,74.3,71.79,76.35,1,generic_constant_extraction,1.0,1.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,claude,v4,63.08,64.84,61.65,1,generic_constant_extraction,1.0,1.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,claude,v1,63.08,64.84,61.65,1,generic_constant_extraction,1.0,1.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,gemini,v3,75.65,69.98,80.3,2,js_template_literals;generic_constant_extraction,1.0,1.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,gemini,v2,73.67,70.81,76.0,0,,1.0,3.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,gemini,v4,56.64,57.65,55.81,0,,1.0,3.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,gemini,v1,56.18,57.67,54.96,0,,1.0,3.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,gemini,v2,56.64,57.65,55.81,0,,1.0,3.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,gemini,v3,58.33,57.58,58.95,2,js_template_literals;generic_constant_extraction,1.0,1.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,gemini,v1,73.13,70.78,75.05,0,,1.0,3.0,3.0,3.0
robot_name,typescript,typescript_robot-name_Exercism-typescript-FilipeCerejo_FilipeCerejo,gemini,v4,73.61,70.89,75.84,0,,1.0,3.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg,openAI,v1,72.99,68.84,76.39,0,,1.0,2.0,3.0,4.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg,openAI,v4,72.99,68.84,76.39,0,,1.0,2.0,3.0,4.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg,openAI,v2,72.1,71.31,72.74,0,,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg,openAI,v3,72.1,71.31,72.74,0,,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg,claude,v3,72.24,72.15,72.31,1,java_stringbuilder,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg,claude,v2,79.04,76.46,81.14,0,,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg,claude,v4,72.72,73.18,72.33,1,java_stringbuilder,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg,claude,v1,61.89,66.6,58.03,1,java_stringbuilder,1.0,4.0,3.0,4.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg,gemini,v4,65.27,66.74,64.07,2,java_stringbuilder;generic_null_check,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg,gemini,v3,68.56,68.06,68.97,2,java_stringbuilder;generic_null_check,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg,gemini,v2,67.09,66.82,67.31,2,java_stringbuilder;generic_null_check,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg,gemini,v1,66.75,66.06,67.31,2,java_stringbuilder;generic_null_check,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg_ThomasZumsteg,openAI,v1,72.99,68.84,76.39,0,,1.0,2.0,3.0,4.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg_ThomasZumsteg,openAI,v4,72.99,68.84,76.39,0,,1.0,2.0,3.0,4.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg_ThomasZumsteg,openAI,v2,72.1,71.31,72.74,0,,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg_ThomasZumsteg,openAI,v3,72.1,71.31,72.74,0,,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg_ThomasZumsteg,claude,v3,72.24,72.15,72.31,1,java_stringbuilder,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg_ThomasZumsteg,claude,v2,79.04,76.46,81.14,0,,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg_ThomasZumsteg,claude,v4,72.72,73.18,72.33,1,java_stringbuilder,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg_ThomasZumsteg,claude,v1,61.89,66.6,58.03,1,java_stringbuilder,1.0,4.0,3.0,4.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg_ThomasZumsteg,gemini,v4,65.27,66.74,64.07,2,java_stringbuilder;generic_null_check,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg_ThomasZumsteg,gemini,v3,68.56,68.06,68.97,2,java_stringbuilder;generic_null_check,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg_ThomasZumsteg,gemini,v2,67.09,66.82,67.31,2,java_stringbuilder;generic_null_check,1.0,2.0,3.0,3.0
robot_name,java,Java_robot-name_exercism-java-ThomasZumsteg_ThomasZumsteg,gemini,v1,66.75,66.06,67.31,2,java_stringbuilder;generic_null_check,1.0,2.0,3.0,3.0
robot_name,cpp,cpp_robot_name_Exercism (johnngugi),openAI,v4,56.5,60.98,52.83,0,,2.0,0.0,2.0,2.0
robot_name,cpp,cpp_robot_name_Exercism (johnngugi),openAI,v1,66.13,62.14,69.39,0,,2.0,2.0,2.0,2.0
robot_name,cpp,cpp_robot_name_Exercism (johnngugi),openAI,v3,57.76,58.49,57.17,0,,2.0,0.0,2.0,3.0
robot_name,cpp,cpp_robot_name_Exercism (johnngugi),openAI,v2,48.02,49.74,46.61,0,,2.0,0.0,2.0,2.0
robot_name,cpp,cpp_robot_name_Exercism (johnngugi),claude,v1,71.02,76.53,66.51,0,,2.0,0.0,2.0,1.0
robot_name,cpp,cpp_robot_name_Exercism (johnngugi),claude,v3,56.33,58.53,54.54,0,,2.0,0.0,2.0,2.0
robot_name,cpp,cpp_robot_name_Exercism (johnngugi),claude,v2,69.4,73.48,66.05,0,,2.0,0.0,2.0,1.0
robot_name,cpp,cpp_robot_name_Exercism (johnngugi),claude,v4,39.7,39.2,40.1,0,,2.0,1.0,2.0,5.0
robot_name,cpp,cpp_robot_name_Exercism (johnngugi),gemini,v4,54.19,60.68,48.89,0,,2.0,0.0,2.0,2.0
robot_name,cpp,cpp_robot_name_Exercism (johnngugi),gemini,v3,60.08,64.0,56.88,0,,2.0,0.0,2.0,1.0
robot_name,cpp,cpp_robot_name_Exercism (johnngugi),gemini,v2,59.79,59.82,59.76,0,,2.0,1.0,2.0,2.0
robot_name,cpp,cpp_robot_name_Exercism (johnngugi),gemini,v1,58.24,54.73,61.12,0,,2.0,3.0,2.0,2.0
robot_name,cpp,cpp_robot_name_Exercism (thefullarcticfox),openAI,v4,64.26,61.69,66.37,0,,1.0,2.0,3.0,4.0
robot_name,cpp,cpp_robot_name_Exercism (thefullarcticfox),openAI,v1,64.27,61.31,66.69,0,,1.0,1.0,3.0,3.0
robot_name,cpp,cpp_robot_name_Exercism (thefullarcticfox),openAI,v3,58.04,58.78,57.43,0,,1.0,1.0,3.0,4.0
robot_name,cpp,cpp_robot_name_Exercism (thefullarcticfox),openAI,v2,63.96,61.01,66.37,0,,1.0,2.0,3.0,4.0
robot_name,cpp,cpp_robot_name_Exercism (thefullarcticfox),claude,v1,79.93,85.04,75.74,0,,1.0,1.0,3.0,3.0
robot_name,cpp,cpp_robot_name_Exercism (thefullarcticfox),claude,v3,63.92,68.39,60.27,0,,1.0,1.0,3.0,3.0
robot_name,cpp,cpp_robot_name_Exercism (thefullarcticfox),claude,v2,84.94,86.43,83.73,0,,1.0,1.0,3.0,3.0
robot_name,cpp,cpp_robot_name_Exercism (thefullarcticfox),claude,v4,77.54,82.92,73.15,0,,1.0,1.0,3.0,3.0
robot_name,cpp,cpp_robot_name_Exercism (thefullarcticfox),gemini,v4,66.9,64.55,68.81,0,,1.0,1.0,3.0,3.0
robot_name,cpp,cpp_robot_name_Exercism (thefullarcticfox),gemini,v3,69.15,72.18,66.66,0,,1.0,2.0,3.0,4.0
robot_name,cpp,cpp_robot_name_Exercism (thefullarcticfox),gemini,v2,69.7,72.12,67.73,0,,1.0,1.0,3.0,3.0
robot_name,cpp,cpp_robot_name_Exercism (thefullarcticfox),gemini,v1,68.0,69.99,66.38,0,,1.0,2.0,3.0,4.0
robot_name,go,go_robot_name_Exercism (go_rootulp),openAI,v2,70.02,68.63,71.16,2,go_defer;go_make,1.0,3.0,3.0,4.0
robot_name,go,go_robot_name_Exercism (go_rootulp),openAI,v3,70.02,68.63,71.16,2,go_defer;go_make,1.0,3.0,3.0,4.0
robot_name,go,go_robot_name_Exercism (go_rootulp),openAI,v4,66.95,68.46,65.72,2,go_defer;go_make,1.0,3.0,3.0,4.0
robot_name,go,go_robot_name_Exercism (go_rootulp),openAI,v1,70.02,68.63,71.16,2,go_defer;go_make,1.0,3.0,3.0,4.0
robot_name,go,go_robot_name_Exercism (go_rootulp),claude,v3,60.91,59.75,61.87,2,go_defer;go_make,1.0,3.0,3.0,4.0
robot_name,go,go_robot_name_Exercism (go_rootulp),claude,v2,75.1,72.0,77.63,1,go_make,1.0,3.0,3.0,3.0
robot_name,go,go_robot_name_Exercism (go_rootulp),claude,v1,74.71,71.43,77.39,1,go_make,1.0,3.0,3.0,4.0
robot_name,go,go_robot_name_Exercism (go_rootulp),claude,v4,71.61,73.14,70.36,1,go_make,1.0,1.0,3.0,4.0
robot_name,go,go_robot_name_Exercism (go_rootulp),gemini,v1,57.95,49.09,65.2,3,go_defer;go_make;generic_null_check,1.0,3.0,3.0,3.0
robot_name,go,go_robot_name_Exercism (go_rootulp),gemini,v4,58.96,51.54,65.03,4,go_defer;go_range;go_make;generic_null_check,1.0,4.0,3.0,3.0
robot_name,go,go_robot_name_Exercism (go_rootulp),gemini,v3,59.99,53.65,65.17,3,go_defer;go_make;generic_null_check,1.0,4.0,3.0,3.0
robot_name,go,go_robot_name_Exercism (go_rootulp),gemini,v2,66.12,58.44,72.4,2,go_defer;go_make,1.0,1.0,3.0,3.0
robot_name,go,go_robot_name_Exercism (go_ThomasZumsteg),openAI,v2,54.67,50.94,57.73,1,go_defer,2.0,1.0,2.0,5.0
robot_name,go,go_robot_name_Exercism (go_ThomasZumsteg),openAI,v3,54.99,51.76,57.63,1,go_defer,2.0,1.0,2.0,4.0
robot_name,go,go_robot_name_Exercism (go_ThomasZumsteg),openAI,v4,53.95,52.25,55.33,1,go_defer,2.0,1.0,2.0,5.0
robot_name,go,go_robot_name_Exercism (go_ThomasZumsteg),openAI,v1,65.11,63.85,66.15,1,go_defer,2.0,1.0,2.0,4.0
robot_name,go,go_robot_name_Exercism (go_ThomasZumsteg),claude,v3,65.8,61.06,69.68,1,go_defer,2.0,2.0,2.0,3.0
robot_name,go,go_robot_name_Exercism (go_ThomasZumsteg),claude,v2,80.92,77.68,83.58,1,go_defer,2.0,2.0,2.0,3.0
robot_name,go,go_robot_name_Exercism (go_ThomasZumsteg),claude,v1,83.15,81.05,84.86,1,go_defer,2.0,2.0,2.0,3.0
robot_name,go,go_robot_name_Exercism (go_ThomasZumsteg),claude,v4,64.08,60.2,67.26,1,go_defer,2.0,2.0,2.0,3.0
robot_name,go,go_robot_name_Exercism (go_ThomasZumsteg),gemini,v1,80.89,78.07,83.19,1,go_defer,2.0,3.0,2.0,3.0
robot_name,go,go_robot_name_Exercism (go_ThomasZumsteg),gemini,v4,79.22,75.05,82.63,1,go_defer,2.0,2.0,2.0,3.0
robot_name,go,go_robot_name_Exercism (go_ThomasZumsteg),gemini,v3,65.55,55.71,73.61,0,,2.0,3.0,2.0,3.0
robot_name,go,go_robot_name_Exercism (go_ThomasZumsteg),gemini,v2,75.19,72.58,77.32,1,go_defer,2.0,3.0,2.0,3.0
robot_name,go,go_robot_name_Exercism (go_drapala),openAI,v2,61.5,44.82,75.15,1,go_defer,2.0,2.0,3.0,3.0
robot_name,go,go_robot_name_Exercism (go_drapala),openAI,v3,66.15,52.98,76.93,2,go_defer;generic_null_check,2.0,2.0,3.0,4.0
robot_name,go,go_robot_name_Exercism (go_drapala),openAI,v4,48.51,38.47,56.72,1,go_defer,2.0,1.0,3.0,3.0
robot_name,go,go_robot_name_Exercism (go_drapala),openAI,v1,48.51,38.47,56.72,1,go_defer,2.0,1.0,3.0,3.0
robot_name,go,go_robot_name_Exercism (go_drapala),claude,v3,59.93,51.86,66.54,1,go_defer,2.0,3.0,3.0,3.0
robot_name,go,go_robot_name_Exercism (go_drapala),claude,v2,81.14,84.66,78.27,1,go_make,2.0,2.0,3.0,3.0
